id,"frame","x [nm]","y [nm]","z [nm]"
75,9,1370.801866,3058.037200,0
76,9,2055.560977,5221.792454,0
77,9,7458.700707,3796.245779,0
78,9,8177.886987,4941.017165,0
79,9,6290.607688,5482.690731,0
80,9,4795.762363,5399.902201,0
81,10,2620.912969,5809.661779,0
82,10,5359.636336,4365.756674,0
83,10,5106.738693,7451.019072,0
84,10,5806.837823,690.515028,0
85,10,7278.871416,276.089987,0
86,10,1128.657476,3278.235713,0
87,10,2052.146395,5144.096016,0
88,10,7543.880664,3744.794335,0
89,10,8149.769180,4698.117256,0
90,10,6341.712604,5678.549342,0
91,10,4584.559410,5416.072386,0
92,11,5373.913655,4369.316729,0
93,11,5121.979614,7377.323063,0
94,11,5770.402537,966.479472,0
95,11,1830.024905,9004.640682,0
96,11,7238.545700,142.809362,0
97,11,965.729982,3223.483972,0
98,11,1942.544770,5204.494885,0
99,11,7459.094051,3780.708434,0
100,11,8078.549328,4592.348555,0
101,11,6749.071337,5921.279621,0
102,11,4485.997416,5359.275911,0
103,12,5276.925850,4250.101017,0
104,12,5624.585700,9921.835729,0
105,12,5211.537513,7387.987243,0
106,12,5661.126703,1027.613690,0
107,12,1667.313561,8915.578729,0
108,12,954.206115,2931.290001,0
109,12,7728.195089,3968.005478,0
110,12,9006.866913,7250.288084,0
111,12,8043.737002,4589.812384,0
112,12,6874.391027,6178.779294,0
113,12,4400.554491,5225.102063,0
114,13,5526.368035,4320.952553,0
115,13,5513.521361,9885.575949,0
116,13,5255.427722,7536.075706,0
117,13,5687.802877,958.541440,0
118,13,9059.991779,7317.612368,0
119,13,8054.515448,4638.169565,0
120,13,4825.196543,5475.474829,0
121,13,6837.974874,6119.813417,0
122,13,4437.702935,5193.060097,0
123,14,833.649583,8089.074169,0
124,14,3188.584834,8201.504516,0
125,14,5475.160974,4386.612284,0
126,14,5602.402860,9857.557153,0
127,14,5280.335814,7610.814580,0
128,14,5914.925205,1091.673510,0
129,14,7215.943840,1795.627440,0
130,14,9127.319043,7284.183083,0
131,14,8235.695660,4712.088023,0
132,14,4889.176966,5186.810904,0
133,14,6657.618509,6097.031217,0
134,14,4321.851688,5302.215785,0
135,14,2404.280701,345.591636,0
136,15,728.503461,7962.683809,0
137,15,3341.841038,8214.582062,0
138,15,5782.068301,9698.208427,0
139,15,5777.252034,1303.757778,0
140,15,9224.772242,8496.493689,0
141,15,2059.541657,8267.832091,0
142,15,7342.725925,1800.347507,0
143,15,9232.289111,7070.178772,0
144,15,5131.092625,5421.018513,0
145,15,6630.009989,6360.394443,0
146,15,4456.830113,5286.568260,0
147,15,5202.707800,967.814411,0
148,15,2268.896144,527.192555,0
149,16,703.341187,8108.536227,0
150,16,3192.454380,7969.994025,0
151,16,5592.953974,9818.089598,0
152,16,5777.723286,1557.643048,0
153,16,9194.298432,8246.672604,0
154,16,5159.715891,3713.432158,0
155,16,2046.592688,8350.520496,0
156,16,9274.102403,6763.837409,0
157,16,7305.558705,1840.821877,0
158,16,9274.733245,7240.814523,0
159,16,4733.425456,4501.685302,0
160,16,4894.472424,5548.893091,0
161,16,6626.008077,6410.076222,0
162,16,4416.462764,5404.609607,0
163,16,5109.533548,1111.924810,0
164,16,2459.346060,775.838016,0
165,17,681.279786,8143.508812,0
166,17,7872.020956,4584.782328,0
167,17,5549.767387,9780.836397,0
168,17,5919.753270,1486.588245,0
169,17,7623.616070,8469.540402,0
170,17,4983.752642,3832.817033,0
171,17,2146.091053,8399.446929,0
172,17,9204.182194,6499.901584,0
173,17,7060.210548,1999.058636,0
174,17,4761.695284,4379.344347,0
175,17,5045.588358,5491.783867,0
176,17,4533.292224,5395.279790,0
177,17,4959.752345,1015.359369,0
