id,"frame","x [nm]","y [nm]","z [nm]"
255,14,8181.561105,3418.602122,0
256,14,8904.464968,1961.723150,0
257,14,8950.919707,5413.760532,0
258,14,8970.185745,6000.115314,0
259,14,10794.790947,920.633381,0
260,15,657.763541,4135.352056,0
261,15,783.968923,3268.847312,0
262,15,1042.657297,2281.786863,0
263,15,1179.973904,10496.239272,0
264,15,1656.420279,6091.718797,0
265,15,2182.254828,10674.277222,0
266,15,3229.826505,8370.681776,0
267,15,3240.835236,4692.919664,0
268,15,3273.634976,3102.440131,0
269,15,3839.405349,2232.783580,0
270,15,4107.275430,5230.053699,0
271,15,4316.100750,971.369989,0
272,15,4417.353870,-348.648194,0
273,15,5826.434858,7060.719916,0
274,15,6624.229345,7953.894338,0
275,15,6871.276998,169.270533,0
276,15,8094.346773,11288.209960,0
277,15,8236.678651,5316.728534,0
278,15,8889.023354,1933.717699,0
279,15,9241.284174,10185.775694,0
280,15,9547.160841,9819.987209,0
281,15,9674.866918,6118.573699,0
282,15,10132.547744,10550.090601,0
283,15,10193.700757,2228.294191,0
284,16,332.818916,11190.408031,0
285,16,886.729703,2224.897857,0
286,16,1719.837196,535.255706,0
287,16,2100.022220,1659.465609,0
288,16,2437.236296,6513.144942,0
289,16,3311.069197,8452.519673,0
290,16,4391.513487,9135.930634,0
291,16,4712.108418,5936.962835,0
292,16,5887.841601,7141.209098,0
293,16,5933.222059,7150.356043,0
294,16,7191.366171,3568.239508,0
295,16,8184.059269,6593.054398,0
296,16,8188.000908,5253.007343,0
297,16,8730.249104,6400.329103,0
298,16,8788.342826,5290.432932,0
299,17,-1066.383153,10395.897791,0
300,17,-806.625494,5768.834301,0
301,17,479.429630,3457.420749,0
302,17,1744.941193,6016.275918,0
303,17,3022.498306,4726.028272,0
304,17,3149.675172,2726.425233,0
305,17,3326.346481,8498.839141,0
306,17,3551.494038,3612.756294,0
307,17,6024.756383,6769.620375,0
308,17,6085.897036,7544.811960,0
309,17,6900.071111,6265.458124,0
310,17,7351.992136,6779.628645,0
311,17,7550.273646,4617.484389,0
312,17,8058.601360,-532.549590,0
313,17,10759.513876,11138.476881,0
314,18,-419.193239,-870.056729,0
315,18,958.568376,2707.565242,0
316,18,1720.084793,6122.811198,0
317,18,1997.162534,2646.242361,0
318,18,2657.698211,4716.698764,0
319,18,4004.664030,826.185484,0
320,18,5242.429113,1200.391383,0
321,18,6155.755081,7287.031937,0
322,18,6384.590881,8846.351243,0
323,18,7232.060082,8843.691365,0
324,18,7298.957137,-864.575603,0
325,18,7383.920438,4784.049475,0
326,18,7959.547904,9091.773655,0
327,18,8978.380825,4977.748193,0
328,18,9014.355930,11347.079645,0
329,18,10523.799421,6649.639698,0
330,18,11261.158200,11157.091604,0
331,19,-753.872489,-646.786084,0
332,19,1242.534227,9814.128666,0
333,19,1325.986732,2469.046190,0
334,19,1587.863936,5963.113080,0
335,19,1840.041002,9785.936802,0
336,19,2552.331848,411.385801,0
337,19,2654.680012,128.763723,0
338,19,3058.199975,8539.413247,0
339,19,3179.855685,8484.266209,0
340,19,4721.785409,8279.061042,0
341,19,5068.777367,4578.491468,0
342,19,5467.385149,9826.190150,0
343,19,5497.601548,3883.097222,0
344,19,5669.861575,8925.162892,0
345,19,6255.107860,7431.001107,0
346,19,6461.869120,7432.249465,0
347,19,6977.202944,695.352003,0
348,19,7737.063087,4752.804842,0
349,19,8289.783111,7053.309271,0
350,19,8756.179133,9852.960483,0
351,19,8932.708382,6365.242584,0
352,19,9203.627896,895.663532,0
353,19,9942.691688,3918.401457,0
354,19,10176.958695,4317.931640,0
355,19,10419.401735,1869.607266,0
356,19,10988.172725,1654.825079,0
357,20,1285.111911,7951.777888,0
358,20,2253.405902,4380.841051,0
359,20,2530.775177,10967.037377,0
360,20,2666.803655,228.171062,0
361,20,3211.001107,8451.139229,0
362,20,4294.712130,8555.789196,0
363,20,4314.797589,-819.742830,0
364,20,5132.319963,1168.038491,0
365,20,5227.046434,7359.346853,0
366,20,5846.623900,4756.426744,0
